AGI,mRNA,description
AT1G75890,AT1G75890.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843922]
AT1G75891,AT1G75891.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6241104]
AT1G75900,AT1G75900.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843923]
AT1G75910,AT1G75910.1,extracellular lipase 4 [Source:NCBI gene (formerly Entrezgene);Acc:843924]
AT1G75920,AT1G75920.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843925]
AT1G75930,AT1G75930.1,extracellular lipase 6 [Source:NCBI gene (formerly Entrezgene);Acc:843926]
AT1G75940,AT1G75940.1,Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843927]
AT1G75950,AT1G75950.1,S phase kinase-associated protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:843928]
AT1G75960,AT1G75960.1,AMP-dependent synthetase and ligase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843929]
AT1G75970,AT1G75970.1,""
AT1G75980,AT1G75980.1,Single hybrid motif superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843930]
AT1G75990,AT1G75990.1,PAM domain (PCI/PINT associated module) protein [Source:NCBI gene (formerly Entrezgene);Acc:843931]
AT1G76000,AT1G76000.1,""
AT1G76010,AT1G76010.1,Alba DNA/RNA-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:843932]
AT1G76020,AT1G76020.1,Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843933]
AT1G76030,AT1G76030.1,"ATPase, V1 complex, subunit B protein [Source:NCBI gene (formerly Entrezgene);Acc:843934]"
AT1G76040,AT1G76040.2,calcium-dependent protein kinase 29 [Source:NCBI gene (formerly Entrezgene);Acc:843936]
AT1G76050,AT1G76050.2,Pseudouridine synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843937]
AT1G76060,AT1G76060.1,LYR family of Fe/S cluster biosis protein [Source:NCBI gene (formerly Entrezgene);Acc:843938]
AT1G76062,AT1G76062.1,ath-MIR835 [Source:miRBase;Acc:MI0005391]
AT1G76065,AT1G76065.1,LYR family of Fe/S cluster biosis protein [Source:NCBI gene (formerly Entrezgene);Acc:5007850]
AT1G76070,AT1G76070.1,""
AT1G76080,AT1G76080.1,chloroplastic drought-induced stress protein of 32 kD [Source:NCBI gene (formerly Entrezgene);Acc:843940]
AT1G76090,AT1G76090.1,sterol methyltransferase 3 [Source:NCBI gene (formerly Entrezgene);Acc:843941]
AT1G76100,AT1G76100.1,plastocyanin 1 [Source:NCBI gene (formerly Entrezgene);Acc:843942]
AT1G76110,AT1G76110.1,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843943]
AT1G76120,AT1G76120.1,Pseudouridine synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843944]
AT1G76130,AT1G76130.1,alpha-amylase-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:843945]
AT1G76135,AT1G76135.1,ath-MIR394b [Source:miRBase;Acc:MI0001006]
AT1G76140,AT1G76140.1,Prolyl oligopeptidase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843946]
AT1G76150,AT1G76150.1,enoyl-CoA hydratase 2 [Source:NCBI gene (formerly Entrezgene);Acc:843947]
AT1G76160,AT1G76160.1,SKU5 similar 5 [Source:NCBI gene (formerly Entrezgene);Acc:843948]
AT1G76170,AT1G76170.1,"2-thiocytidine tRNA biosynthesis protein, TtcA [Source:NCBI gene (formerly Entrezgene);Acc:843949]"
AT1G76180,AT1G76180.1,Dehydrin family protein [Source:NCBI gene (formerly Entrezgene);Acc:843950]
AT1G76185,AT1G76185.1,NADH-ubiquinone oxidoreductase chain [Source:NCBI gene (formerly Entrezgene);Acc:843951]
AT1G76190,AT1G76190.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:843952]
AT1G76200,AT1G76200.1,NADH dehydrogenase ubiquinone 1 beta subcomplex subunit [Source:NCBI gene (formerly Entrezgene);Acc:843953]
AT1G76210,AT1G76210.1,"DUF241 domain protein, putative (DUF241) [Source:NCBI gene (formerly Entrezgene);Acc:843954]"
AT1G76220,AT1G76220.1,""
AT1G76230,AT1G76230.1,""
AT1G76240,AT1G76240.1,DUF241 domain protein (DUF241) [Source:NCBI gene (formerly Entrezgene);Acc:843957]
AT1G76250,AT1G76250.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:843958]
AT1G76260,AT1G76260.1,DWD (DDB1-binding WD40 protein) hypersensitive to ABA 2 [Source:NCBI gene (formerly Entrezgene);Acc:843959]
AT1G76270,AT1G76270.1,O-fucosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843960]
AT1G76280,AT1G76280.3,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843961]
AT1G76290,AT1G76290.1,AMP-dependent synthetase and ligase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843962]
AT1G76300,AT1G76300.1,snRNP core protein SMD3 [Source:NCBI gene (formerly Entrezgene);Acc:843963]
AT1G76310,AT1G76310.1,CYCLIN B2;4 [Source:NCBI gene (formerly Entrezgene);Acc:843964]
AT1G76320,AT1G76320.1,FAR1-related sequence 4 [Source:NCBI gene (formerly Entrezgene);Acc:843965]
AT1G76330,AT1G76330.1,""
AT1G76340,AT1G76340.1,golgi nucleotide sugar transporter 3 [Source:NCBI gene (formerly Entrezgene);Acc:843966]
AT1G76350,AT1G76350.1,Plant regulator RWP-RK family protein [Source:NCBI gene (formerly Entrezgene);Acc:843967]
AT1G76360,AT1G76360.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843968]
AT1G76370,AT1G76370.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843969]
AT1G76380,AT1G76380.2,DNA-binding bromodomain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843970]
AT1G76390,AT1G76390.1,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843971]
AT1G76400,AT1G76400.1,Ribophorin I [Source:NCBI gene (formerly Entrezgene);Acc:843972]
AT1G76405,AT1G76405.2,outer envelope pore 21B-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843973]
AT1G76410,AT1G76410.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843974]
AT1G76420,AT1G76420.1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843975]
AT1G76430,AT1G76430.1,phosphate transporter 1;9 [Source:NCBI gene (formerly Entrezgene);Acc:843976]
AT1G76440,AT1G76440.1,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843977]
AT1G76450,AT1G76450.1,Photosystem II reaction center PsbP family protein [Source:NCBI gene (formerly Entrezgene);Acc:843978]
AT1G76460,AT1G76460.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:843979]
AT1G76470,AT1G76470.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843980]
AT1G76480,AT1G76480.2,caveolin-1 protein [Source:NCBI gene (formerly Entrezgene);Acc:843981]
AT1G76490,AT1G76490.1,hydroxy methylglutaryl CoA reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:843982]
AT1G76500,AT1G76500.1,Putative AT-hook DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:843983]
AT1G76510,AT1G76510.3,ARID/BRIGHT DNA-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843984]
AT1G76520,AT1G76520.1,Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843985]
AT1G76530,AT1G76530.1,Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843986]
AT1G76540,AT1G76540.1,cyclin-dependent kinase B2;1 [Source:NCBI gene (formerly Entrezgene);Acc:843987]
AT1G76550,AT1G76550.1,Phosphofructokinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843988]
AT1G76560,AT1G76560.1,CP12 domain-containing protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:843989]
AT1G76570,AT1G76570.1,Chlorophyll A-B binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:843990]
AT1G76580,AT1G76580.1,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:843991]
AT1G76590,AT1G76590.1,PLATZ transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:843992]
AT1G76600,AT1G76600.1,poly polymerase [Source:NCBI gene (formerly Entrezgene);Acc:843993]
AT1G76610,AT1G76610.1,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617) [Source:NCBI gene (formerly Entrezgene);Acc:843994]"
AT1G76620,AT1G76620.1,"Serine/Threonine-kinase, putative (Protein of unknown function, DUF547) [Source:NCBI gene (formerly Entrezgene);Acc:843995]"
AT1G76630,AT1G76630.2,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843996]
AT1G76640,AT1G76640.1,Calcium-binding EF-hand family protein [Source:NCBI gene (formerly Entrezgene);Acc:843997]
AT1G76650,AT1G76650.1,calmodulin-like 38 [Source:NCBI gene (formerly Entrezgene);Acc:843998]
AT1G76660,AT1G76660.1,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:843999]
AT1G76670,AT1G76670.1,Nucleotide-sugar transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:844000]
AT1G76680,AT1G76680.2,12-oxophytodienoate reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:844001]
AT1G76690,AT1G76690.1,12-oxophytodienoate reductase 2 [Source:NCBI gene (formerly Entrezgene);Acc:844002]
AT1G76700,AT1G76700.1,DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844003]
AT1G76705,AT1G76705.1,calmodulin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:844004]
AT1G76710,AT1G76710.1,SET domain group 26 [Source:NCBI gene (formerly Entrezgene);Acc:844005]
AT1G76720,AT1G76720.1,eukaryotic translation initiation factor 2 (eIF-2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:844006]
AT1G76728,AT1G76728.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:6240820]
AT1G76730,AT1G76730.1,NagB/RpiA/CoA transferase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844007]
AT1G76740,AT1G76740.1,""
AT1G76750,AT1G76750.1,egg cell-secreted-like protein (DUF1278) [Source:NCBI gene (formerly Entrezgene);Acc:844009]
AT1G76760,AT1G76760.1,thioredoxin Y1 [Source:NCBI gene (formerly Entrezgene);Acc:844010]
AT1G76770,AT1G76770.1,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844011]
AT1G76780,AT1G76780.1,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844012]
AT1G76790,AT1G76790.1,O-methyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844013]
AT1G76800,AT1G76800.1,Vacuolar iron transporter (VIT) family protein [Source:NCBI gene (formerly Entrezgene);Acc:844014]
AT1G76810,AT1G76810.1,eukaryotic translation initiation factor 2 (eIF-2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:844015]
AT1G76820,AT1G76820.1,""
AT1G76830,AT1G76830.1,F-box and associated interaction domains-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844018]
AT1G76840,AT1G76840.1,""
AT1G76850,AT1G76850.1,exocyst complex component sec5 [Source:NCBI gene (formerly Entrezgene);Acc:844020]
AT1G76860,AT1G76860.1,Small nuclear ribonucleoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:844021]
AT1G76870,AT1G76870.1,transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:844022]
AT1G76878,AT1G76878.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6240557]
AT1G76880,AT1G76880.1,Duplicated homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844023]
AT1G76890,AT1G76890.2,Duplicated homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844024]
AT1G76892,AT1G76892.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28717431]
AT1G76900,AT1G76900.1,tubby like protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:844025]
AT1G76910,AT1G76910.1,""
AT1G76911,AT1G76911.1,
AT1G76920,AT1G76920.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:844027]
AT1G76930,AT1G76930.1,extensin 4 [Source:NCBI gene (formerly Entrezgene);Acc:844028]
AT1G76940,AT1G76940.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:844029]
AT1G76950,AT1G76950.1,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844030]
AT1G76952,AT1G76952.1,inflorescence deficient in abscission (IDA)-like 5 [Source:NCBI gene (formerly Entrezgene);Acc:5007852]
AT1G76954,AT1G76954.1,Defensin-like (DEFL) family protein [Source:NCBI gene (formerly Entrezgene);Acc:3767712]
AT1G76955,AT1G76955.1,Expressed protein [Source:NCBI gene (formerly Entrezgene);Acc:2745854]
AT1G76960,AT1G76960.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:844031]
AT1G76965,AT1G76965.1,""
AT1G76970,AT1G76970.1,Target of Myb protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:844033]
AT1G76980,AT1G76980.1,patatin-like phospholipase domain protein [Source:NCBI gene (formerly Entrezgene);Acc:844034]
AT1G76990,AT1G76990.1,ACT domain repeat 3 [Source:NCBI gene (formerly Entrezgene);Acc:844035]
AT1G76994,AT1G76994.1,""
AT1G77000,AT1G77000.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844036]
AT1G77010,AT1G77010.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844037]
AT1G77020,AT1G77020.1,DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844038]
AT1G77030,AT1G77030.1,putative DEAD-box ATP-dependent RNA helicase 29 [Source:NCBI gene (formerly Entrezgene);Acc:844039]
AT1G77040,AT1G77040.1,""
AT1G77060,AT1G77060.1,Phosphoenolpyruvate carboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844041]
AT1G77080,AT1G77080.4,K-box region and MADS-box transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:844042]
AT1G77090,AT1G77090.1,thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein) [Source:NCBI gene (formerly Entrezgene);Acc:844043]
AT1G77093,AT1G77093.1,Defensin-like (DEFL) family protein [Source:NCBI gene (formerly Entrezgene);Acc:3767714]
AT1G77095,AT1G77095.1,
AT1G77100,AT1G77100.1,peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844045]
AT1G77110,AT1G77110.1,Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:844046]
AT1G77120,AT1G77120.1,alcohol dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:844047]
AT1G77122,AT1G77122.1,Uncharacterized protein family UPF0090 [Source:NCBI gene (formerly Entrezgene);Acc:844048]
AT1G77130,AT1G77130.1,plant glycogenin-like starch initiation protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:844049]
AT1G77131,AT1G77131.1,
AT1G77138,AT1G77138.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6240253]
AT1G77140,AT1G77140.1,vacuolar protein sorting 45 [Source:NCBI gene (formerly Entrezgene);Acc:844050]
AT1G77145,AT1G77145.1,"transmembrane protein, putative (DUF506) [Source:NCBI gene (formerly Entrezgene);Acc:844051]"
AT1G77150,AT1G77150.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844052]
AT1G77160,AT1G77160.1,""
AT1G77170,AT1G77170.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844054]
AT1G77180,AT1G77180.1,chromatin protein family [Source:NCBI gene (formerly Entrezgene);Acc:844055]
AT1G77190,AT1G77190.1,""
AT1G77200,AT1G77200.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844056]
AT1G77210,AT1G77210.1,sugar transporter 14 [Source:NCBI gene (formerly Entrezgene);Acc:844057]
AT1G77220,AT1G77220.1,organic solute transporter ostalpha protein (DUF300) [Source:NCBI gene (formerly Entrezgene);Acc:844058]
AT1G77230,AT1G77230.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844059]
AT1G77235,AT1G77235.1,ath-MIR402 [Source:miRBase;Acc:MI0001071]
AT1G77240,AT1G77240.1,AMP-dependent synthetase and ligase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844060]
AT1G77250,AT1G77250.1,RING/FYVE/PHD-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:844061]
AT1G77260,AT1G77260.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844062]
AT1G77270,AT1G77270.1,""
AT1G77280,AT1G77280.1,kinase with adenine nucleotide alpha hydrolases-like domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844064]
AT1G77290,AT1G77290.1,Glutathione S-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844065]
AT1G77300,AT1G77300.1,histone-lysine N-methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:844066]
AT1G77310,AT1G77310.1,wound-responsive family protein [Source:NCBI gene (formerly Entrezgene);Acc:844067]
AT1G77320,AT1G77320.1,transcription coactivator [Source:NCBI gene (formerly Entrezgene);Acc:844068]
AT1G77330,AT1G77330.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844069]
AT1G77340,AT1G77340.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844070]
AT1G77350,AT1G77350.1,keratinocyte-associated-like protein [Source:NCBI gene (formerly Entrezgene);Acc:844071]
AT1G77360,AT1G77360.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844072]
AT1G77370,AT1G77370.1,Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:844073]
AT1G77380,AT1G77380.1,amino acid permease 3 [Source:NCBI gene (formerly Entrezgene);Acc:844074]
AT1G77390,AT1G77390.1,CYCLIN A1;2 [Source:NCBI gene (formerly Entrezgene);Acc:844075]
AT1G77400,AT1G77400.1,extensin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:844076]
AT1G77405,AT1G77405.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844077]
AT1G77410,AT1G77410.1,beta-galactosidase 16 [Source:NCBI gene (formerly Entrezgene);Acc:844078]
AT1G77420,AT1G77420.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844079]
AT1G77440,AT1G77440.1,20S proteasome beta subunit C2 [Source:NCBI gene (formerly Entrezgene);Acc:844080]
AT1G77450,AT1G77450.1,NAC domain containing protein 32 [Source:NCBI gene (formerly Entrezgene);Acc:844081]
AT1G77460,AT1G77460.1,CELLULOSE SYNTHASE INTERACTIVE 3 [Source:NCBI gene (formerly Entrezgene);Acc:844082]
AT1G77470,AT1G77470.1,replication factor C subunit 3 [Source:NCBI gene (formerly Entrezgene);Acc:844083]
AT1G77480,AT1G77480.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:844084]
AT1G77490,AT1G77490.1,thylakoidal ascorbate peroxidase [Source:NCBI gene (formerly Entrezgene);Acc:844085]
AT1G77500,AT1G77500.1,"DUF630 family protein, putative (DUF630 and DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:844086]"
AT1G77510,AT1G77510.1,PDI-like 1-2 [Source:NCBI gene (formerly Entrezgene);Acc:844087]
AT1G77520,AT1G77520.1,O-methyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844088]
AT1G77525,AT1G77525.1,defensin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:6241320]
AT1G77530,AT1G77530.1,O-methyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:844089]
AT1G77540,AT1G77540.1,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844090]
AT1G77550,AT1G77550.1,tubulin-tyrosine ligase [Source:NCBI gene (formerly Entrezgene);Acc:844091]
AT1G77560,AT1G77560.1,""
AT1G77570,AT1G77570.1,Winged helix-turn-helix transcription repressor DNA-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:844092]
